MSW05_Binomial,5-1_AdultBodyMass_g,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d,6-1_DietBreadth,6-2_TrophicLevel,1-1_ActivityCycle,26-1_GR_Area_km2,21-1_PopulationDensity_n/km2
Camelus dromedarius,492714.47,386.51,614.41,0.98,480.0,1947.94,-999,389.38,3.0,1,3.0,-999.0,0.98
Canis adustus,10392.49,65.0,-999.0,4.5,137.0,249.88,8,52.89,6.0,2,1.0,10581413.14,0.74
Canis aureus,9658.7,61.24,365.0,3.74,192.0,371.23,8,61.3,6.0,2,2.0,25739527.43,0.22
Canis latrans,11989.1,61.74,365.0,5.72,262.0,372.9,8,43.71,1.0,3,2.0,17099094.3,0.25
Canis lupus,31756.51,63.5,365.0,4.98,354.0,679.37,9,44.82,1.0,3,2.0,50803439.7,0.01
Bos frontalis,800143.05,273.75,403.02,1.22,314.4,610.97,-999,186.67,3.0,1,2.0,2294331.63,0.54
Bos grunniens,500000.0,273.75,-999.0,1.0,267.0,755.15,-999,243.33,2.0,1,-999.0,1523540.07,-999.0
Bos javanicus,635974.34,296.78,-999.0,1.22,318.96,797.31,-999,287.74,2.0,1,2.0,1687920.66,0.75
Callicebus cupreus,1117.02,129.25,395.41,1.01,-999.0,-999.0,-999,201.85,-999.0,-999,3.0,690923.14,4.89
Callicebus discolor,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Callicebus donacophilus,897.67,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,288759.02,-999.0
Callicebus dubius,992.4,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,-999.0,-999.0
Callicebus hoffmannsi,1067.61,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,98076.46,-999.0
Callicebus lucifer,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Callicebus lugens,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Callicebus medemi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,36587.57,-999.0
Callicebus melanochir,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,60497.71,-999.0
Callicebus modestus,992.4,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,17288.42,-999.0
Caluromys derbianus,326.72,-999.0,-999.0,3.14,60.0,251.71,-999,-999.0,3.0,2,1.0,678553.48,11.86
Caluromys lanatus,350.33,-999.0,-999.0,-999.0,60.0,-999.0,-999,-999.0,4.0,2,1.0,3683731.12,-999.0
Caluromys philander,246.47,23.99,166.5,4.18,76.0,314.52,7,119.65,4.0,2,1.0,3212264.13,62.32
Caluromysiops irrupta,257.48,-999.0,-999.0,2.0,94.0,-999.0,-999,-999.0,3.0,2,1.0,188864.44,8.85
Calyptophractus retusus,129.99,-999.0,-999.0,-999.0,144.0,-999.0,-999,-999.0,4.0,2,-999.0,1081453.8,-999.0
Camelus bactrianus,554515.91,397.99,730.0,1.39,480.0,1330.6,-999,368.13,2.0,1,-999.0,188693.0,0.06
Bos sauveli,791321.76,-999.0,-999.0,-999.0,-999.0,755.15,-999,-999.0,2.0,1,2.0,115557.18,-999.0
Bos taurus,618642.42,280.48,-999.0,-999.0,240.0,755.15,-999,-999.0,-999.0,-999,-999.0,44447.62,-999.0
Boselaphus tragocamelus,182253.04,248.49,400.5,1.39,260.4,-999.0,-999,-999.0,5.0,1,-999.0,2192564.81,2.39
Brachiones przewalskii,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,940177.9,-999.0
Canis mesomelas,8247.3,62.5,273.75,3.89,168.0,241.4,8,34.1,6.0,2,2.0,6248779.95,0.74
Canis simensis,14361.86,63.61,365.0,-999.0,-999.0,754.74,8,69.6,1.0,3,3.0,11402.81,1.2
Cannomys badius,472.07,41.49,-999.0,2.0,48.0,-999.0,-999,50.1,-999.0,-999,-999.0,818286.0,-999.0
Cansumys canus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,267130.76,-999.0
Caperea marginata,31999999.98,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Capra caucasica,58149.52,155.0,-999.0,1.09,264.0,1015.0,3,-999.0,-999.0,-999,-999.0,32781.87,-999.0
Capra falconeri,54303.37,167.98,-999.0,1.73,168.0,1015.0,-999,167.29,2.0,1,3.0,155075.85,-999.0
Capra hircus,47386.47,156.0,365.0,1.45,249.6,498.97,3,158.04,2.0,1,-999.0,-999.0,7.58
Capra ibex,69546.83,167.5,547.5,1.11,267.6,838.54,3,111.75,2.0,1,-999.0,145098.13,-999.0
Atelerix algirus,903.98,39.25,-999.0,2.5,84.0,-999.0,-999,39.7,3.0,2,1.0,815329.89,-999.0
Atelerix frontalis,329.12,37.13,-999.0,4.99,-999.0,411.43,6,34.8,6.0,2,1.0,1497998.13,-999.0
Atelerix sclateri,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,198274.28,-999.0
Ateles belzebuth,6692.42,138.2,-999.0,1.02,336.0,-999.0,-999,-999.0,2.0,1,3.0,1030364.23,13.49
Ateles chamek,7053.92,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,2.0,1,3.0,990902.31,3.39
Ateles fusciceps,9067.94,224.7,851.66,1.01,288.0,1799.68,-999,482.7,2.0,1,3.0,201579.73,-999.0
Ateles geoffroyi,7582.4,226.37,1048.15,1.01,327.6,2104.57,-999,816.35,2.0,1,3.0,806609.19,19.06
Ateles hybridus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,144643.82,-999.0
Ateles marginatus,6229.28,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,2.0,1,3.0,831855.4,-999.0
Ateles paniscus,8697.25,228.18,1072.18,1.0,453.6,2104.57,-999,805.41,6.0,2,3.0,892635.1,8.0
Callicebus moloch,958.13,164.0,365.0,1.01,303.6,1262.74,-999,58.85,3.0,2,3.0,911442.78,18.43
Callicebus nigrifrons,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,513267.9,-999.0
Callicebus oenanthe,992.4,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,5807.21,-999.0
Callicebus olallae,992.4,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,17288.42,-999.0
Callicebus ornatus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,23066.97,-999.0
Callicebus pallescens,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,93328.33,-999.0
Callicebus personatus,1390.8,-999.0,-999.0,1.01,-999.0,-999.0,-999,-999.0,4.0,1,3.0,172664.46,13.03
Callicebus purinus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Callicebus regulus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Callicebus stephennashi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Callicebus torquatus,1209.57,-999.0,-999.0,1.01,-999.0,1683.65,-999,121.66,4.0,2,3.0,-999.0,10.2
Callimico goeldii,558.0,153.99,182.5,1.05,214.8,413.84,-999,66.53,2.0,2,3.0,462922.05,2.08
Callistomys pictus,518.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,37773.91,-999.0
Callithrix acariensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,79622.42,-999.0
Callithrix argentata,382.92,-999.0,219.6,1.84,201.6,701.52,-999,-999.0,4.0,2,3.0,123514.0,7.52
Callithrix aurita,386.2,140.0,-999.0,2.0,-999.0,-999.0,-999,-999.0,3.0,2,3.0,87653.49,-999.0
Callithrix chrysoleuca,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,60733.28,-999.0
Callithrix emiliae,309.58,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,160568.97,-999.0
Callithrix flaviceps,372.97,140.0,-999.0,2.0,-999.0,-999.0,-999,-999.0,3.0,2,3.0,27330.89,11.85
Callithrix geoffroyi,342.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,132745.3,-999.0
Callithrix humeralifera,374.99,-999.0,-999.0,-999.0,180.0,-999.0,-999,99.01,4.0,2,3.0,129628.0,28.32
Callithrix humilis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,21239.49,-999.0
Callithrix intermedia,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,73178.5,19.97
Callithrix jacchus,290.21,144.0,159.8,2.31,201.6,455.99,-999,60.24,5.0,2,3.0,604264.4,508.18
Callithrix kuhlii,374.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,4.0,2,3.0,34583.88,59.0
Callithrix leucippe,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,14616.07,-999.0
Callithrix manicorensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,18875.99,-999.0
Callithrix marcai,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,44500.24,-999.0
Callithrix mauesi,443.79,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,4.0,2,-999.0,2038.88,-999.0
Callithrix melanura,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,543620.62,-999.0
Callithrix nigriceps,401.12,-999.0,-999.0,2.0,-999.0,-999.0,-999,-999.0,4.0,2,3.0,24958.88,-999.0
Callithrix penicillata,339.98,-999.0,-999.0,2.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,1325473.3,-999.0
Callithrix pygmaea,123.94,134.44,182.5,1.93,181.2,708.5,-999,90.73,3.0,2,3.0,1508925.87,15.9
Callithrix saterei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,18742.81,-999.0
Callorhinus ursinus,55464.82,358.49,365.0,1.04,420.0,1683.65,-999,108.69,6.0,2,2.0,-999.0,18.0
Callosciurus adamsi,208.72,-999.0,-999.0,1.94,-999.0,-999.0,5,-999.0,6.0,2,3.0,30384.46,-999.0
Callosciurus albescens,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,432350.65,-999.0
Callosciurus baluensis,323.91,-999.0,-999.0,3.0,-999.0,-999.0,5,-999.0,6.0,2,3.0,20853.19,-999.0
Callosciurus caniceps,264.91,-999.0,-999.0,2.19,114.0,-999.0,-999,-999.0,-999.0,-999,-999.0,420861.69,18.6
Callosciurus erythraeus,283.23,-999.0,-999.0,1.94,193.2,-999.0,-999,-999.0,3.0,1,-999.0,2354368.13,622.69
Callosciurus finlaysonii,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,723854.08,-999.0
Callosciurus inornatus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,235249.21,-999.0
Callosciurus melanogaster,296.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,4.0,2,3.0,5140.87,-999.0
Callosciurus nigrovittatus,208.3,-999.0,-999.0,2.36,-999.0,-999.0,5,-999.0,6.0,2,3.0,1450546.42,5.75
Callosciurus notatus,209.49,-999.0,-999.0,2.62,115.2,413.84,5,-999.0,6.0,2,3.0,1474469.76,98.32
Callosciurus orestes,323.91,-999.0,-999.0,3.0,-999.0,-999.0,5,-999.0,6.0,2,3.0,35107.14,-999.0
Callosciurus phayrei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,99941.58,-999.0
Callosciurus prevostii,400.0,46.08,-999.0,1.29,68.0,-999.0,5,-999.0,6.0,2,3.0,1315342.19,-999.0
Callosciurus pygerythrus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,503627.21,-999.0
Callosciurus quinquestriatus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,21108.92,-999.0
Calomys boliviae,27.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,108148.2,-999.0
Calomys callidus,27.0,-999.0,-999.0,-999.0,-999.0,13.57,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Calomys callosus,44.95,21.8,21.0,4.91,-999.0,43.18,-999,18.33,-999.0,-999,-999.0,-999.0,354.3
Calomys expulsus,39.86,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,1195.79
Calomys hummelincki,27.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,333859.81,-999.0
Calomys laucha,14.0,25.0,-999.0,5.3,-999.0,-999.0,-999,-999.0,3.0,2,-999.0,1239274.0,-999.0
Calomys lepidus,20.59,-999.0,20.75,4.29,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,593465.1,-999.0
Calomys musculinus,20.2,20.97,-999.0,6.27,-999.0,76.03,-999,-999.0,3.0,2,-999.0,869814.79,253.33
Calomys sorellus,20.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,205439.89,-999.0
Calomys tener,13.8,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,915351.64,-999.0
Calomys tocantinsi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Calomys venustus,49.33,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Calomyscus bailwardi,21.38,-999.0,-999.0,4.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,102086.07,354.3
Calomyscus baluchi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,29169.13,-999.0
Calomyscus elburzensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,204039.71,-999.0
Calomyscus grandis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Calomyscus hotsoni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,231.5,-999.0
Calomyscus mystax,-999.0,-999.0,-999.0,4.99,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Calomyscus tsolovi,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,6.78,-999.0
Calomyscus urartensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,5580.24,-999.0
Caloprymnus campestris,927.57,-999.0,-999.0,1.0,156.0,-999.0,-999,-999.0,-999.0,-999,1.0,-999.0,-999.0
Atelocynus microtis,8363.22,-999.0,-999.0,-999.0,132.0,-999.0,-999,-999.0,1.0,3,-999.0,7634256.6,-999.0
Atherurus africanus,2875.65,108.18,-999.0,1.5,274.8,-999.0,-999,45.37,5.0,2,1.0,5140711.56,-999.0
Atherurus macrourus,2000.0,-999.0,-999.0,1.5,-999.0,-999.0,-999,-999.0,5.0,2,1.0,2597040.51,-999.0
Atilax paludinosus,3600.16,77.27,182.5,2.0,209.0,234.83,4,35.89,6.0,2,2.0,14296320.45,-999.0
Atlantoxerus getulus,250.57,-999.0,-999.0,-999.0,108.0,-999.0,-999,-999.0,-999.0,-999,-999.0,179364.26,-999.0
Auliscomys boliviensis,70.91,-999.0,-999.0,3.4,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,207032.77,-999.0
Auliscomys pictus,48.97,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,309321.99,232.95
Auliscomys sublimis,38.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,497531.43,-999.0
Avahi laniger,1092.28,136.15,365.0,1.01,-999.0,-999.0,2,149.15,3.0,1,1.0,85075.49,84.85
Avahi occidentalis,828.98,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,1.0,1,2.0,7563.78,66.99
Avahi unicolor,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,2508.24,-999.0
Axis axis,69499.99,227.49,425.83,1.01,249.6,543.68,-999,121.66,-999.0,-999,-999.0,2041090.04,6.69
Axis calamianensis,39812.6,224.0,-999.0,2.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,1345.4,-999.0
Axis kuhlii,54999.99,227.49,-999.0,1.22,-999.0,-999.0,-999,-999.0,2.0,1,3.0,197.86,4.44
Axis porcinus,37448.29,220.13,-999.0,1.0,240.0,464.04,-999,-999.0,3.0,1,-999.0,2017514.05,16.5
Babyrousa babyrussa,92950.09,156.5,-999.0,1.73,288.0,362.5,4,212.91,6.0,2,3.0,13309.7,-999.0
Babyrousa bolabatuensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Babyrousa celebensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,47657.62,-999.0
Balaenoptera musculus,154321304.5,326.97,821.25,1.0,1320.0,1959.8,-999,211.71,1.0,3,-999.0,-999.0,-999.0
Balaenoptera physalus,47506008.23,338.36,730.0,1.01,1392.0,2666.41,-999,196.58,2.0,3,-999.0,-999.0,-999.0
Balantiopteryx infusca,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,68801.56,-999.0
Balantiopteryx io,3.97,-999.0,-999.0,1.0,-999.0,-999.0,-999,-999.0,-999.0,-999,1.0,211758.21,-999.0
Balantiopteryx plicata,6.57,138.81,-999.0,0.99,-999.0,-999.0,-999,58.59,1.0,3,1.0,841946.43,-999.0
Balionycteris maculata,14.43,-999.0,-999.0,1.0,-999.0,-999.0,-999,-999.0,1.0,1,-999.0,870187.37,-999.0
Bandicota bengalensis,226.99,18.89,61.9,7.29,-999.0,63.52,-999,30.03,-999.0,-999,-999.0,3698085.54,-999.0
Bandicota indica,583.09,20.26,71.25,6.12,-999.0,145.81,-999,27.3,-999.0,-999,-999.0,6308602.34,-999.0
Cephalophus niger,19094.32,126.0,-999.0,1.0,122.04,-999.0,4,89.49,7.0,2,-999.0,726891.4,1.14
Cephalophus nigrifrons,14676.33,-999.0,-999.0,-999.0,236.4,-999.0,4,-999.0,4.0,1,2.0,2766201.07,2.0
Cephalophus ogilbyi,18386.42,121.66,-999.0,1.0,-999.0,-999.0,4,-999.0,-999.0,-999,3.0,231511.16,-999.0
Cephalophus rufilatus,12114.57,233.99,-999.0,1.0,114.0,-999.0,4,85.59,5.0,2,3.0,3098970.49,3.18
Cephalophus silvicultor,62006.6,234.43,306.0,1.0,207.96,-999.0,4,34.9,5.0,2,2.0,6018051.89,0.5
Cephalophus spadix,56857.02,-999.0,-999.0,-999.0,65.04,-999.0,4,-999.0,3.0,1,1.0,36583.37,-999.0
Cephalophus weynsi,-999.0,-999.0,-999.0,-999.0,183.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1692834.41,-999.0
Cephalophus zebra,15654.75,223.89,-999.0,1.0,146.04,-999.0,4,13.64,3.0,2,-999.0,171546.51,-999.0
Cephalorhynchus commersonii,72400.0,-999.0,-999.0,0.98,216.0,2207.29,-999,-999.0,1.0,3,-999.0,-999.0,-999.0
Cephalorhynchus eutropia,45000.0,-999.0,-999.0,0.97,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,-999.0,-999.0
Cephalorhynchus heavisidii,39999.99,-999.0,-999.0,0.97,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Cephalorhynchus hectori,49999.99,-999.0,-999.0,1.0,240.0,2768.53,-999,355.65,1.0,3,3.0,-999.0,-999.0
Ceratotherium simum,2285939.43,534.19,967.25,1.0,600.0,2741.23,-999,365.0,1.0,1,2.0,3184467.13,0.47
Cercartetus caudatus,23.05,-999.0,183.0,2.37,38.4,464.04,4,76.04,3.0,2,1.0,221311.97,49.99
Cercartetus concinnus,15.96,52.14,122.0,4.6,-999.0,-999.0,6,49.99,-999.0,-999,1.0,611282.88,-999.0
Cercartetus lepidus,8.03,-999.0,365.0,3.33,-999.0,-999.0,4,89.99,2.0,2,1.0,93697.61,-999.0
Cercartetus nanus,26.85,-999.0,139.25,3.96,96.0,193.8,4,62.5,4.0,2,1.0,378748.79,788.66
Cercocebus agilis,7105.62,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,1068616.42,-999.0
Cercocebus atys,6941.24,165.08,394.2,1.01,321.6,1321.67,-999,-999.0,-999.0,-999,3.0,440620.58,8.85
Cercocebus chrysogaster,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,564761.67,-999.0
Cercocebus galeritus,7077.66,174.43,-999.0,1.01,252.0,2735.94,-999,-999.0,2.0,1,3.0,20246.09,70.11
Cercocebus sanjei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,59607.49,-999.0
Cercocebus torquatus,7293.07,168.98,434.35,1.01,360.0,1318.86,-999,-999.0,1.0,1,3.0,362869.59,40.15
Cercopithecus albogularis,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,4.0,2,3.0,1057710.32,-999.0
Cercopithecus ascanius,3540.24,148.5,1580.45,1.01,339.6,1718.73,-999,146.54,4.0,2,3.0,3012180.23,105.79
Cercopithecus campbelli,3627.73,180.8,-999.0,1.02,396.0,-999.0,-999,362.93,3.0,1,3.0,262404.57,-999.0
Cercopithecus cephus,3444.88,169.51,-999.0,1.01,276.0,1521.9,-999,362.93,3.0,2,3.0,898367.43,21.04
Cercopithecus denti,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,402606.02,-999.0
Cercopithecus diana,4358.91,-999.0,365.0,1.01,447.6,2279.95,-999,362.93,3.0,2,3.0,177249.87,16.47
Cercopithecus doggetti,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,53746.06,-999.0
Cercopithecus dryas,2784.06,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,151925.19,-999.0
Cercopithecus erythrogaster,3444.88,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,2.0,2,3.0,102343.83,-999.0
Cercopithecus erythrotis,3254.98,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,2.0,2,3.0,87403.19,-999.0
Cercopithecus hamlyni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,328372.58,-999.0
Cercopithecus kandti,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,18131.24,-999.0
Cercopithecus lhoesti,5307.47,-999.0,485.45,1.0,192.0,-999.0,-999,-999.0,3.0,2,3.0,451166.22,4.99
Cercopithecus lowei,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,271410.7,-999.0
Cercopithecus mitis,5041.29,138.39,565.75,1.0,325.2,2049.25,-999,688.08,4.0,2,3.0,2341818.13,70.39
Cercopithecus mona,3980.17,-999.0,-999.0,1.0,360.0,-999.0,-999,-999.0,-999.0,-999,3.0,652362.31,-999.0
Cercopithecus neglectus,5324.52,172.07,584.0,1.02,315.6,2076.39,-999,417.62,3.0,2,3.0,2963266.5,29.03
Cercopithecus nictitans,5256.91,169.51,-999.0,1.0,276.0,1684.59,-999,-999.0,4.0,2,3.0,2185668.95,22.5
Cercopithecus petaurista,3233.67,-999.0,-999.0,1.02,228.0,-999.0,-999,-999.0,-999.0,-999,3.0,619437.28,25.95
Cercopithecus pogonias,3578.27,169.51,-999.0,1.01,289.2,1684.59,-999,-999.0,3.0,2,3.0,1592652.96,19.04
Cercopithecus preussi,5132.57,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,4.0,2,3.0,60552.81,-999.0
Cercopithecus roloway,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,136280.67,-999.0
Cercopithecus sclateri,3067.29,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,30025.23,-999.0
Cercopithecus solatus,5256.91,-999.0,547.5,1.01,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,14715.81,-999.0
Cercopithecus wolfi,3255.18,-999.0,-999.0,1.02,-999.0,-999.0,-999,-999.0,-999.0,-999,3.0,1419828.69,-999.0
Cerdocyon thous,5741.66,57.18,243.33,3.09,138.0,279.15,-999,72.33,7.0,2,1.0,7091683.41,3.54
Cervus elaphus,240867.13,235.61,-999.0,1.09,321.6,659.91,-999,104.64,5.0,1,2.0,14167735.33,2.9
Cervus nippon,52999.99,223.66,-999.0,1.0,305.04,518.12,4,197.7,2.0,1,2.0,2714652.61,0.75
Chaerephon aloysiisabaudiae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,686927.63,-999.0
Chaerephon ansorgei,-999.0,68.43,-999.0,-999.0,-999.0,-999.0,-999,72.83,-999.0,-999,-999.0,5163213.18,-999.0
Chaerephon bemmeleni,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,3206708.09,-999.0
Chaerephon bivittatus,15.42,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,3573026.75,-999.0
Chaerephon bregullae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,10238.58,-999.0
Chaerephon chapini,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1035410.19,-999.0
Chaerephon gallagheri,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,3529.03,-999.0
Chaerephon jobensis,20.71,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,2825882.53,-999.0
Chaerephon johorensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,24699.24,-999.0
Chaerephon leucogaster,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,6151633.14,-999.0
