MSW05_Binomial,5-1_AdultBodyMass_g,9-1_GestationLen_d,14-1_InterbirthInterval_d,15-1_LitterSize,17-1_MaxLongevity_m,23-1_SexualMaturityAge_d,24-1_TeatNumber,25-1_WeaningAge_d,6-1_DietBreadth,6-2_TrophicLevel,1-1_ActivityCycle,26-1_GR_Area_km2,21-1_PopulationDensity_n/km2
Hipposideros sumbae,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,41062.47,-999.0
Hipposideros thomensis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,862.58,-999.0
Hipposideros turpis,33.31,-999.0,-999.0,1.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,293300.8,-999.0
Hipposideros vittatus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,12658503.07,-999.0
Hipposideros wollastoni,6.93,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,98200.95,-999.0
Hippotragus equinus,264173.96,278.23,317.0,0.98,240.0,841.82,4,119.27,5.0,1,3.0,8018853.26,0.96
Hippotragus leucophaeus,149999.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Hippotragus niger,236405.9,272.87,365.0,1.0,267.0,972.17,4,210.73,5.0,1,3.0,3149646.92,1.3
Histiotus alienus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,442813.05,-999.0
Histiotus humboldti,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0
Histiotus laephotis,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,974450.52,-999.0
Histiotus macrotus,11.0,-999.0,-999.0,0.98,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,1199544.41,-999.0
Histiotus magellanicus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,1093128.73,-999.0
Histiotus montanus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,2999898.7,-999.0
Histiotus velatus,11.32,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1.0,3,-999.0,3459699.44,-999.0
