Species1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size
Myiagra ferrocyanea,16.3,5.8,4.1,15.6,69.0,10.1,12.8,Forest,1,1.0,Carnivore,Invertivore,Insessorial,32643.7
Myiagra galeata,16.2,6.2,4.0,15.4,67.6,11.5,11.0,Forest,2,1.0,Carnivore,Invertivore,Insessorial,44624.81
Myiagra hebetior,17.5,5.2,4.3,22.1,70.2,9.3,20.2,Forest,1,1.0,Carnivore,Invertivore,Insessorial,342.84
Myiagra inquieta,21.9,5.7,4.3,19.2,99.0,18.5,20.9,Woodland,2,2.0,Carnivore,Invertivore,Insessorial,1602441.95
Myiagra nana,19.5,5.7,4.2,18.6,87.1,15.3,13.5,Woodland,2,2.0,Carnivore,Invertivore,Insessorial,1125140.54
Myiagra oceanica,19.9,7.8,4.7,20.8,80.6,16.0,12.1,Forest,2,1.0,Carnivore,Invertivore,Insessorial,105.86
Myiagra pluto,17.7,7.1,4.3,19.9,80.4,15.2,12.1,Forest,2,1.0,Carnivore,Invertivore,Insessorial,361.44
Myiagra rubecula,15.9,5.7,3.9,15.3,74.2,14.0,12.05,Forest,2,1.0,Carnivore,Invertivore,Insessorial,2268381.7
Myiagra ruficollis,17.4,6.9,4.0,18.3,71.1,11.4,10.1,Woodland,2,1.0,Carnivore,Invertivore,Insessorial,580888.4
Myiagra vanikorensis,18.0,6.9,4.2,17.7,74.6,14.5,12.3,Forest,2,1.0,Carnivore,Invertivore,Insessorial,18452.69
Neolalage banksiana,18.5,4.3,4.4,21.5,75.5,12.4,16.79,Forest,2,1.0,Carnivore,Invertivore,Insessorial,9879.99
Pomarea dimidiata,17.5,5.2,4.3,23.2,80.0,13.6,23.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,31.46
Pomarea iphis,19.1,5.3,4.7,27.8,89.8,17.6,23.9,Forest,2,1.0,Carnivore,Invertivore,Insessorial,81.42
Pomarea mendozae,19.9,5.4,5.2,27.5,90.2,18.9,29.6,Forest,1,1.0,Carnivore,Invertivore,Insessorial,13.3
