Species1,Beak.Length_Culmen,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Mass,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Range.Size
Accipiter albogularis,27.7,10.6,14.7,62.0,235.2,81.8,248.75,Forest,1,2.0,Carnivore,Vertivore,Insessorial,37461.21
Accipiter badius,20.6,8.8,11.6,43.0,186.7,62.5,131.15,Shrubland,2,3.0,Carnivore,Vertivore,Insessorial,22374973.0
Accipiter bicolor,25.0,8.6,12.7,58.1,229.6,56.6,287.54,Woodland,2,2.0,Carnivore,Vertivore,Generalist,14309701.27
Accipiter brachyurus,22.5,8.9,11.9,61.2,202.2,64.1,142.0,Forest,1,2.0,Carnivore,Vertivore,Insessorial,35580.71
Accipiter brevipes,21.1,8.7,11.1,46.4,217.6,87.8,186.48,Forest,1,3.0,Carnivore,Vertivore,Generalist,2936751.8
Accipiter butleri,20.0,6.6,12.0,48.7,166.0,42.9,122.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,327.84
Accipiter castanilius,20.5,8.3,10.9,52.6,163.5,38.9,157.51,Forest,1,2.0,Carnivore,Vertivore,Insessorial,2096401.63
Accipiter cirrocephalus,19.2,7.7,9.6,60.3,213.0,81.3,165.73,Forest,1,2.0,Carnivore,Vertivore,Generalist,5488639.45
Accipiter collaris,20.0,8.6,11.0,43.6,165.9,49.5,97.8,Forest,1,2.0,Carnivore,Vertivore,Insessorial,253265.36
Accipiter cooperii,25.4,8.6,13.2,62.0,241.2,77.8,429.67,Woodland,2,3.0,Carnivore,Vertivore,Aerial,8393137.06
Accipiter erythrauchen,21.1,8.6,11.2,59.5,191.2,58.9,156.0,Forest,1,1.0,Carnivore,Vertivore,Generalist,48150.32
Accipiter erythropus,17.6,7.2,9.6,43.0,154.6,40.9,111.2,Forest,1,1.0,Carnivore,Vertivore,Insessorial,3904812.09
Accipiter fasciatus,28.5,11.2,15.2,71.9,269.9,103.6,358.66,Forest,1,1.0,Carnivore,Vertivore,Generalist,8180196.71
Accipiter francesiae,20.2,8.7,10.7,48.1,155.8,43.2,136.82,Forest,1,1.0,Carnivore,Invertivore,Insessorial,519468.81
Accipiter gentilis,33.7,11.6,18.0,67.3,337.6,122.6,866.04,Forest,1,2.0,Carnivore,Vertivore,Generalist,31775270.74
Accipiter griseiceps,24.1,8.8,12.4,52.0,187.2,50.0,251.76,Forest,1,1.0,Carnivore,Vertivore,Insessorial,140604.94
Accipiter gularis,23.3,6.6,9.1,43.6,162.6,54.2,120.66,Forest,1,3.0,Carnivore,Vertivore,Insessorial,4785704.92
Accipiter gundlachi,26.0,8.3,16.3,71.3,228.0,61.8,675.0,Forest,1,1.0,Carnivore,Vertivore,Aerial,33511.43
Accipiter haplochrous,23.7,9.6,13.2,58.9,227.8,74.5,198.41,Forest,1,1.0,Carnivore,Vertivore,Insessorial,16389.59
Accipiter henicogrammus,27.9,10.0,13.6,65.1,230.2,72.0,358.7,Forest,1,1.0,Carnivore,Vertivore,Insessorial,22781.85
Accipiter henstii,32.6,11.8,17.2,75.0,290.5,78.0,1050.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,434639.7
Accipiter hiogaster,26.0,9.4,13.9,51.1,197.2,60.8,326.06,Forest,1,1.0,Carnivore,Vertivore,Insessorial,794517.61
Accipiter imitator,26.4,9.1,12.2,49.6,200.0,60.0,222.49,Forest,1,1.0,Carnivore,Vertivore,Insessorial,10050.21
Accipiter luteoschistaceus,26.4,7.8,11.9,51.5,188.0,57.0,214.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,28814.74
Accipiter madagascariensis,19.7,7.4,9.4,58.0,190.8,54.5,180.41,Forest,1,1.0,Carnivore,Vertivore,Insessorial,476517.51
Accipiter melanochlamys,25.9,11.0,13.9,62.7,228.6,75.0,265.0,Forest,1,1.0,Carnivore,Vertivore,Generalist,115449.94
Accipiter melanoleucus,29.6,10.3,16.3,75.8,302.8,107.2,698.99,Forest,1,1.0,Carnivore,Vertivore,Generalist,9067092.6
Accipiter meyerianus,35.0,12.6,18.6,75.4,309.5,102.0,763.54,Forest,1,1.0,Carnivore,Vertivore,Generalist,269144.41
Accipiter minullus,16.5,6.6,8.8,41.3,150.4,44.6,87.43,Forest,1,1.0,Carnivore,Vertivore,Generalist,6794381.58
Accipiter nanus,17.6,7.6,10.1,46.6,152.4,44.9,117.0,Forest,1,1.0,Carnivore,Invertivore,Insessorial,110477.0
Accipiter nisus,19.6,8.4,10.0,53.6,207.4,74.2,220.79,Forest,1,2.0,Carnivore,Vertivore,Insessorial,23601609.31
Accipiter novaehollandiae,31.6,11.5,16.5,69.0,261.9,76.0,326.06,Forest,1,1.0,Carnivore,Vertivore,Insessorial,1807067.3
Accipiter ovampensis,20.5,7.5,10.3,49.4,222.4,86.2,195.0,Shrubland,2,1.0,Carnivore,Vertivore,Aerial,7295779.86
Accipiter poliocephalus,25.0,10.1,13.7,60.3,210.5,67.8,214.76,Forest,1,1.0,Carnivore,Vertivore,Insessorial,671500.51
Accipiter poliogaster,27.7,8.0,13.2,52.4,240.4,72.6,315.0,Forest,1,2.0,Carnivore,Vertivore,Insessorial,7203530.62
Accipiter princeps,33.6,13.8,17.8,68.0,266.3,77.8,214.8,Forest,1,1.0,Carnivore,Vertivore,Insessorial,11549.62
Accipiter rhodogaster,20.5,7.9,10.8,53.4,172.6,51.6,172.71,Forest,1,1.0,Carnivore,Vertivore,Insessorial,146036.85
Accipiter rufitorques,26.0,10.3,13.7,59.2,217.6,73.5,209.0,Forest,1,1.0,Carnivore,Vertivore,Generalist,17581.12
Accipiter rufiventris,20.3,7.8,10.0,54.2,218.6,83.0,198.0,Forest,1,1.0,Carnivore,Vertivore,Aerial,756057.21
Accipiter soloensis,25.6,8.6,9.7,39.5,187.8,73.1,164.77,Forest,1,3.0,Carnivore,Vertivore,Insessorial,2375886.74
Accipiter striatus,18.3,7.3,9.4,49.9,181.6,56.6,130.59,Forest,1,3.0,Carnivore,Vertivore,Aerial,16375303.87
Accipiter superciliosus,19.4,6.7,10.4,37.4,146.4,38.6,96.38,Forest,1,1.0,Carnivore,Vertivore,Aerial,8560355.56
Accipiter sylvestris,26.0,9.2,13.1,54.5,206.4,66.0,326.06,Forest,1,1.0,Carnivore,Vertivore,Insessorial,34582.63
Accipiter tachiro,18.0,9.1,12.4,65.7,217.4,55.6,290.2,Forest,1,1.0,Carnivore,Vertivore,Aerial,5174215.21
Accipiter toussenelii,24.4,9.2,11.9,62.1,189.0,48.2,249.29,Forest,1,1.0,Carnivore,Vertivore,Insessorial,4598131.33
Accipiter trinotatus,20.4,8.6,11.2,48.2,162.9,43.0,146.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,120238.86
Accipiter trivirgatus,31.7,10.5,14.1,56.9,216.2,49.6,265.04,Forest,1,1.0,Carnivore,Vertivore,Insessorial,3366430.69
Accipiter virgatus,21.2,7.6,10.2,49.8,167.7,46.7,116.99,Forest,1,2.0,Carnivore,Vertivore,Generalist,4398429.71
Aegypius monachus,87.8,27.9,39.8,134.2,734.2,302.2,9320.55,Forest,2,1.0,Scavenger,Scavenger,Terrestrial,7718571.19
Aquila adalberti,61.2,21.1,31.0,98.4,592.5,235.0,2958.03,Woodland,1,2.0,Carnivore,Vertivore,Generalist,131221.76
Aquila africana,39.4,12.8,20.4,76.6,342.2,93.8,1047.0,Woodland,1,2.0,Carnivore,Vertivore,Generalist,1918245.9
Aquila audax,60.5,19.6,31.2,104.0,617.7,244.5,3449.86,Woodland,1,2.0,Carnivore,Vertivore,Generalist,7679648.03
Aquila chrysaetos,56.8,18.5,28.4,101.4,603.1,221.2,4247.97,Grassland,3,2.0,Carnivore,Vertivore,Aerial,39450257.98
Aquila fasciata,45.7,16.2,23.7,93.2,486.8,181.8,1936.49,Rock,3,2.0,Carnivore,Vertivore,Aerial,5630034.84
Aquila gurneyi,55.4,16.6,21.9,99.4,544.5,183.8,3059.99,Forest,1,1.0,Carnivore,Vertivore,Aerial,601810.35
Aquila heliaca,59.0,19.8,28.4,93.7,582.2,230.8,3125.21,Woodland,1,3.0,Carnivore,Vertivore,Generalist,9556213.62
Aquila nipalensis,54.1,17.7,25.2,95.1,559.6,225.2,2714.33,Grassland,3,3.0,Carnivore,Vertivore,Aerial,6933240.92
Aquila rapax,54.0,16.8,24.3,84.3,506.6,196.0,2236.06,Shrubland,2,3.0,Carnivore,Vertivore,Generalist,17572054.36
Aquila spilogaster,44.0,14.4,22.6,91.1,427.6,151.2,1466.17,Grassland,3,1.0,Carnivore,Vertivore,Generalist,12423292.01
Aquila verreauxii,58.2,18.3,27.6,117.4,590.2,200.5,4195.0,Rock,3,1.0,Carnivore,Vertivore,Aerial,4020161.71
Aviceda cuculoides,25.5,10.6,13.9,33.0,264.6,114.0,277.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,10593852.38
Aviceda jerdoni,45.5,12.9,15.9,34.7,302.8,76.9,363.0,Forest,2,1.0,Carnivore,Omnivore,Insessorial,1592906.95
Aviceda leuphotes,24.6,10.2,12.5,25.0,230.6,82.0,193.98,Forest,2,3.0,Carnivore,Invertivore,Insessorial,3528791.57
Aviceda madagascariensis,28.6,11.6,16.2,38.7,314.2,106.0,277.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,340717.9
Aviceda subcristata,28.3,11.6,14.7,36.3,336.6,134.5,322.65,Forest,2,1.0,Carnivore,Omnivore,Insessorial,1718124.83
Busarellus nigricollis,40.8,12.5,17.6,76.1,393.5,105.9,766.14,Forest,1,1.0,Carnivore,Aquatic predator,Insessorial,12825637.87
Butastur indicus,40.5,10.4,14.5,53.4,327.6,155.1,414.6,Woodland,2,3.0,Carnivore,Vertivore,Insessorial,1828306.34
Butastur liventer,31.3,10.5,14.0,61.7,275.0,115.6,337.99,Woodland,3,1.0,Carnivore,Vertivore,Insessorial,1357262.8
Butastur rufipennis,28.7,10.3,12.3,58.4,311.2,143.5,334.87,Woodland,3,1.0,Carnivore,Invertivore,Insessorial,3625177.22
Butastur teesa,30.6,10.7,13.8,60.4,295.4,132.0,325.0,Woodland,3,1.0,Carnivore,Vertivore,Insessorial,3969936.2
Buteo albigula,27.9,11.4,15.2,57.9,291.0,109.6,524.99,Forest,2,3.0,Carnivore,Vertivore,Generalist,1021826.91
Buteo albonotatus,35.1,12.7,16.9,70.4,398.0,159.7,745.92,Forest,1,1.0,Carnivore,Vertivore,Aerial,7192504.19
Buteo augur,42.7,13.3,18.9,89.3,410.2,129.3,1099.18,Woodland,2,1.0,Carnivore,Vertivore,Insessorial,3919632.94
Buteo auguralis,33.3,11.2,15.6,73.6,356.2,135.9,663.92,Forest,1,1.0,Carnivore,Vertivore,Insessorial,7045229.26
Buteo brachypterus,33.6,11.5,16.4,63.1,315.4,100.1,511.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,591120.44
Buteo brachyurus,31.1,10.4,14.9,53.8,307.6,90.0,496.01,Forest,1,1.0,Carnivore,Vertivore,Aerial,14372802.04
Buteo buteo,35.9,12.6,16.6,75.8,382.9,147.2,759.1,Grassland,3,2.0,Carnivore,Vertivore,Insessorial,11719424.27
Buteo galapagoensis,40.9,13.9,19.3,77.0,402.6,176.8,1137.44,Woodland,1,1.0,Carnivore,Vertivore,Aerial,5639.54
Buteo hemilasius,40.7,14.7,18.8,80.0,467.2,179.0,1358.89,Grassland,3,1.0,Carnivore,Vertivore,Generalist,5366251.83
Buteo jamaicensis,37.6,14.4,20.2,80.9,402.8,139.9,1101.16,Woodland,2,3.0,Carnivore,Vertivore,Insessorial,15462822.34
Buteo japonicus,34.5,11.7,15.8,77.0,395.0,163.0,759.1,Grassland,3,2.0,Carnivore,Vertivore,Insessorial,4465171.4
Buteo lagopus,34.5,11.7,15.9,72.3,428.3,180.3,949.76,Grassland,3,3.0,Carnivore,Vertivore,Insessorial,9709846.76
Buteo lineatus,33.1,11.8,16.3,74.1,319.0,106.9,603.72,Woodland,1,3.0,Carnivore,Vertivore,Aerial,3542030.5
Buteo nitidus,30.3,11.2,15.3,64.6,247.3,71.9,519.04,Forest,1,1.0,Carnivore,Vertivore,Insessorial,10412658.23
Buteo oreophilus,35.1,11.4,15.3,70.9,346.0,124.7,699.99,Forest,1,1.0,Carnivore,Vertivore,Insessorial,674707.01
Buteo plagiatus,34.1,11.4,17.2,78.7,267.9,81.6,519.04,Forest,1,1.0,Carnivore,Vertivore,Insessorial,1432406.12
Buteo platypterus,28.3,11.1,14.4,53.4,277.7,103.7,453.65,Forest,2,3.0,Carnivore,Vertivore,Insessorial,4864047.78
Buteo refectus,33.4,11.8,16.1,64.9,346.0,125.7,759.1,Grassland,3,2.0,Carnivore,Vertivore,Insessorial,411852.38
Buteo regalis,41.3,18.3,20.2,81.6,431.0,179.2,1437.18,Grassland,3,3.0,Carnivore,Vertivore,Generalist,2780053.23
Buteo ridgwayi,26.5,9.8,14.2,65.8,222.5,73.9,315.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,210.23
Buteo rufinus,41.6,14.0,19.8,86.1,447.5,180.8,1166.18,Grassland,3,3.0,Carnivore,Vertivore,Generalist,8574436.83
Buteo rufofuscus,39.8,13.4,17.9,84.9,413.2,140.6,1530.0,Grassland,3,2.0,Carnivore,Vertivore,Generalist,1533534.66
Buteo socotraensis,37.8,14.1,18.0,84.0,323.0,115.8,759.1,Grassland,3,2.0,Carnivore,Vertivore,Insessorial,3622.4
Buteo solitarius,31.8,13.2,15.9,72.7,270.2,92.3,500.88,Forest,1,1.0,Carnivore,Vertivore,Insessorial,6957.48
Buteo swainsoni,35.3,13.6,16.6,60.7,383.7,175.2,946.61,Grassland,3,3.0,Carnivore,Vertivore,Insessorial,4303055.16
Buteo trizonatus,34.0,11.4,15.1,67.6,345.8,131.5,568.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,101450.72
Buteo ventralis,37.2,13.0,19.0,76.8,359.0,118.4,1190.52,Forest,1,2.0,Carnivore,Vertivore,Insessorial,536992.07
Buteogallus aequinoctialis,36.1,11.2,16.0,73.3,316.2,78.8,657.63,Woodland,2,1.0,Carnivore,Aquatic predator,Insessorial,132570.12
Buteogallus anthracinus,39.6,12.9,17.5,78.6,355.2,106.0,975.09,Woodland,2,1.0,Carnivore,Aquatic predator,Insessorial,1898078.97
Buteogallus coronatus,60.9,15.8,29.7,119.4,533.0,177.5,2950.0,Shrubland,2,2.0,Carnivore,Vertivore,Insessorial,4233989.28
Buteogallus gundlachii,39.6,12.3,17.3,85.2,348.1,112.6,975.09,Woodland,2,1.0,Carnivore,Omnivore,Insessorial,14641.79
Buteogallus lacernulatus,34.8,11.7,15.5,77.2,293.8,87.0,312.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,139998.95
Buteogallus meridionalis,36.0,11.6,18.1,93.4,416.4,130.9,807.99,Grassland,3,1.0,Carnivore,Vertivore,Insessorial,10432463.33
Buteogallus schistaceus,35.5,12.6,18.1,75.7,272.0,70.0,999.99,Forest,1,1.0,Carnivore,Vertivore,Insessorial,3642728.14
Buteogallus solitarius,58.6,18.7,28.0,120.4,526.2,150.6,3000.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,998204.29
Buteogallus urubitinga,46.0,14.6,21.9,118.4,399.7,87.3,1152.87,Woodland,2,1.0,Carnivore,Vertivore,Insessorial,13126253.65
Chelictinia riocourii,17.7,8.6,9.1,28.2,240.2,136.2,110.0,Shrubland,2,1.0,Carnivore,Invertivore,Aerial,5425285.72
Chondrohierax uncinatus,36.2,12.4,18.4,33.6,285.3,59.8,286.07,Forest,2,2.0,Carnivore,Invertivore,Insessorial,9787616.08
Chondrohierax wilsonii,38.4,11.8,20.6,23.0,244.0,63.5,286.07,Forest,2,2.0,Carnivore,Invertivore,Insessorial,3890.11
Circaetus beaudouini,45.6,15.1,22.7,79.3,501.8,216.8,1500.0,Woodland,2,1.0,Carnivore,Vertivore,Insessorial,3453409.14
Circaetus cinerascens,42.2,13.5,21.7,68.1,379.5,115.2,1126.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,5762003.0
Circaetus cinereus,54.7,15.8,28.6,94.3,517.8,222.0,2048.0,Shrubland,2,1.0,Carnivore,Vertivore,Insessorial,11541044.04
Circaetus fasciolatus,39.8,13.9,23.0,71.7,362.2,101.5,1013.6,Woodland,3,1.0,Carnivore,Vertivore,Insessorial,734455.97
Circaetus gallicus,47.0,15.5,24.6,90.9,537.0,216.8,1699.12,Woodland,3,3.0,Carnivore,Vertivore,Aerial,12695589.93
Circaetus pectoralis,46.7,14.6,23.1,83.8,527.8,229.0,1500.0,Woodland,2,1.0,Carnivore,Vertivore,Generalist,9328714.6
Circus aeruginosus,37.3,11.9,16.2,79.3,405.7,185.3,704.07,Wetland,3,2.0,Carnivore,Vertivore,Aerial,13390803.81
Circus approximans,39.5,11.9,16.4,89.3,406.9,181.9,746.19,Wetland,3,2.0,Carnivore,Vertivore,Aerial,2033024.84
Circus assimilis,36.1,11.2,16.2,95.2,421.6,191.6,558.58,Grassland,3,2.0,Carnivore,Vertivore,Aerial,7817547.59
Circus buffoni,41.4,12.7,16.6,85.3,436.0,210.0,507.4,Grassland,3,2.0,Carnivore,Vertivore,Aerial,4327364.53
Circus cinereus,29.8,9.3,12.9,67.5,344.5,154.5,399.67,Grassland,3,2.0,Carnivore,Vertivore,Aerial,2424495.35
Circus cyaneus,30.1,9.7,13.0,72.1,352.4,158.9,392.98,Grassland,3,3.0,Carnivore,Vertivore,Aerial,17331412.86
Circus hudsonius,31.1,10.1,13.2,82.0,360.9,161.1,392.98,Grassland,3,3.0,Carnivore,Vertivore,Aerial,12347245.55
Circus macrosceles,37.4,11.6,16.1,92.2,420.9,201.7,663.6,Grassland,3,1.0,Carnivore,Vertivore,Aerial,412352.02
Circus macrourus,29.5,9.7,12.7,68.0,351.2,185.0,384.36,Grassland,3,3.0,Carnivore,Vertivore,Aerial,6168290.72
Circus maillardi,37.4,11.1,16.6,83.5,353.2,144.0,663.6,Forest,1,1.0,Carnivore,Vertivore,Aerial,1488.84
Circus maurus,31.7,10.6,13.5,71.9,352.4,151.2,508.99,Shrubland,2,1.0,Carnivore,Vertivore,Aerial,597211.38
Circus melanoleucos,29.9,9.4,13.1,72.5,352.6,179.8,336.3,Grassland,3,3.0,Carnivore,Vertivore,Aerial,1811211.65
Circus pygargus,26.1,8.6,11.2,62.0,362.3,188.0,310.75,Grassland,3,3.0,Carnivore,Vertivore,Aerial,6837154.32
Circus ranivorus,35.4,11.1,14.1,84.5,363.2,163.2,507.0,Wetland,3,1.0,Carnivore,Vertivore,Aerial,4426338.22
Circus spilonotus,38.3,12.1,15.9,86.3,407.2,194.2,558.78,Wetland,3,3.0,Carnivore,Vertivore,Aerial,5723030.46
Circus spilothorax,35.3,11.9,14.4,89.1,377.4,133.0,558.78,Wetland,3,3.0,Carnivore,Vertivore,Aerial,76450.96
Clanga clanga,50.2,15.6,23.2,96.8,510.6,192.2,2154.29,Wetland,3,3.0,Carnivore,Vertivore,Generalist,8980278.98
Clanga hastata,44.4,14.0,18.9,90.2,456.5,191.8,1359.41,Woodland,2,2.0,Carnivore,Vertivore,Generalist,2409106.07
Clanga pomarina,47.3,13.4,19.5,91.6,459.3,184.8,1359.41,Forest,1,3.0,Carnivore,Vertivore,Generalist,2013351.79
Cryptoleucopteryx plumbea,32.1,11.2,16.7,58.9,238.0,74.2,482.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,162116.76
Dryotriorchis spectabilis,36.5,13.0,21.3,65.8,290.5,77.0,697.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,2884763.0
Elanoides forficatus,29.4,10.2,12.3,33.5,412.8,189.1,416.24,Forest,2,3.0,Carnivore,Invertivore,Generalist,13295665.49
Elanus axillaris,25.3,9.0,11.4,38.8,288.4,153.0,270.1,Grassland,3,2.0,Carnivore,Vertivore,Aerial,7649038.18
Elanus caeruleus,30.9,9.2,11.3,32.1,286.3,132.1,259.76,Grassland,3,2.0,Carnivore,Vertivore,Aerial,26685941.8
Elanus leucurus,25.3,8.8,10.9,31.8,294.0,120.3,346.0,Human Modified,3,2.0,Carnivore,Vertivore,Aerial,12522294.39
Elanus scriptus,26.2,11.8,12.0,38.3,302.2,148.8,316.0,Grassland,3,2.0,Carnivore,Vertivore,Aerial,727463.72
Erythrotriorchis buergersi,33.7,12.8,18.2,75.2,310.7,105.5,575.0,Forest,1,1.0,Carnivore,Vertivore,Generalist,152406.32
Erythrotriorchis radiatus,34.8,11.9,17.4,74.5,387.2,161.8,887.35,Forest,1,1.0,Carnivore,Vertivore,Aerial,1074830.71
Eutriorchis astur,40.3,11.6,19.5,84.0,318.5,74.2,700.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,34460.57
Gampsonyx swainsonii,16.2,7.1,8.4,26.0,147.7,55.9,92.9,Forest,2,1.0,Carnivore,Vertivore,Insessorial,10266134.72
Geranoaetus albicaudatus,37.4,13.8,16.4,87.3,427.0,148.1,885.0,Grassland,3,1.0,Carnivore,Vertivore,Generalist,9466789.11
Geranoaetus melanoleucus,50.5,15.4,23.0,98.2,496.2,182.8,2378.62,Shrubland,2,1.0,Carnivore,Vertivore,Aerial,6807951.84
Geranoaetus polyosoma,36.3,13.0,18.3,83.4,402.0,153.3,782.61,Shrubland,2,2.0,Carnivore,Vertivore,Aerial,3165493.22
Geranospiza caerulescens,25.9,9.6,12.9,71.7,269.1,65.1,302.5,Woodland,2,1.0,Carnivore,Vertivore,Insessorial,14333669.12
Gypaetus barbatus,78.2,20.8,28.1,103.6,760.6,370.2,5694.98,Rock,3,2.0,Scavenger,Scavenger,Terrestrial,8369572.33
Gypohierax angolensis,57.5,14.1,23.3,77.3,419.0,127.3,1600.0,Forest,2,1.0,Herbivore,Frugivore,Insessorial,9715580.32
Gyps africanus,61.3,20.5,30.5,95.7,578.4,225.0,5432.99,Shrubland,2,1.0,Scavenger,Scavenger,Terrestrial,10465544.7
Gyps bengalensis,64.6,22.7,32.5,99.1,551.6,214.0,4385.0,Grassland,3,1.0,Scavenger,Scavenger,Terrestrial,3047965.15
Gyps coprotheres,81.2,24.9,36.5,104.2,687.2,252.2,8176.99,Grassland,3,1.0,Scavenger,Scavenger,Terrestrial,671208.3
Gyps fulvus,78.8,23.8,33.8,109.9,687.2,267.5,7435.99,Grassland,3,1.0,Scavenger,Scavenger,Terrestrial,3487541.03
Gyps himalayensis,82.5,23.5,34.0,115.6,759.8,269.5,9797.95,Rock,3,1.0,Scavenger,Scavenger,Terrestrial,3859146.13
Gyps indicus,71.3,20.5,29.7,99.7,585.6,223.0,5515.0,Grassland,3,1.0,Scavenger,Scavenger,Terrestrial,1117987.16
Gyps rueppelli,77.9,23.0,32.5,105.7,627.8,236.0,7399.99,Grassland,3,1.0,Scavenger,Scavenger,Terrestrial,6445230.81
Gyps tenuirostris,75.6,20.0,29.1,104.1,592.2,220.5,5515.0,Woodland,3,1.0,Scavenger,Scavenger,Terrestrial,705181.48
Haliaeetus albicilla,74.1,22.9,33.9,95.0,599.5,227.2,4729.27,Rock,3,2.0,Carnivore,Aquatic predator,Aerial,17404346.92
Haliaeetus leucocephalus,76.0,24.0,34.1,81.7,601.8,248.8,4700.58,Wetland,3,3.0,Carnivore,Omnivore,Generalist,9351853.96
Haliaeetus leucogaster,71.3,18.5,24.9,86.0,556.7,231.8,2827.01,Coastal,2,1.0,Carnivore,Aquatic predator,Aerial,5127370.7
Haliaeetus leucoryphus,63.6,19.3,28.3,95.3,566.6,241.0,2885.92,Wetland,3,3.0,Carnivore,Aquatic predator,Aerial,533825.64
Haliaeetus pelagicus,90.6,28.9,47.0,96.3,598.5,186.2,7756.99,Wetland,3,3.0,Carnivore,Aquatic predator,Generalist,1293649.63
Haliaeetus sanfordi,59.5,18.6,26.9,83.0,523.2,186.8,1980.0,Forest,2,1.0,Carnivore,Omnivore,Generalist,36124.13
Haliaeetus vocifer,58.4,16.8,25.1,88.2,548.2,184.2,3400.0,Wetland,2,1.0,Carnivore,Aquatic predator,Insessorial,15637883.11
Haliaeetus vociferoides,57.0,16.6,25.1,93.3,487.2,156.2,3000.0,Woodland,2,1.0,Carnivore,Aquatic predator,Insessorial,52761.99
Haliastur indus,48.8,12.9,17.0,48.2,399.8,147.0,529.0,Coastal,2,1.0,Carnivore,Omnivore,Generalist,8840397.2
Haliastur sphenurus,40.0,13.1,18.2,58.8,407.4,186.2,752.99,Wetland,2,1.0,Carnivore,Omnivore,Aerial,5565646.93
Hamirostra melanosternon,40.1,12.7,16.3,53.0,472.6,244.5,1196.0,Woodland,2,2.0,Carnivore,Vertivore,Aerial,5297941.74
Harpagus bidentatus,23.7,11.3,13.5,43.1,210.3,64.6,215.25,Forest,2,1.0,Carnivore,Invertivore,Insessorial,8976331.27
Harpagus diodon,23.2,10.7,13.5,34.2,201.4,62.5,200.0,Forest,2,3.0,Carnivore,Invertivore,Insessorial,2345332.63
Harpia harpyja,70.8,17.2,36.4,102.4,569.5,262.7,4800.0,Forest,1,1.0,Carnivore,Vertivore,Insessorial,11064295.35
Harpyopsis novaeguineae,60.0,18.2,33.2,133.8,426.2,72.2,1959.59,Forest,1,1.0,Carnivore,Vertivore,Insessorial,730591.98
Helicolestes hamatus,34.8,10.9,11.6,46.0,290.3,64.5,425.46,Forest,2,1.0,Carnivore,Invertivore,Insessorial,2374863.31
Henicopernis infuscatus,30.8,10.1,15.3,41.4,337.0,127.0,571.2,Forest,2,1.0,Carnivore,Invertivore,Generalist,33424.21
Henicopernis longicauda,31.7,11.2,14.3,50.4,394.6,157.2,571.23,Forest,2,1.0,Carnivore,Invertivore,Generalist,750041.01
Hieraaetus ayresii,33.5,11.7,17.8,68.2,383.5,130.0,806.06,Woodland,3,1.0,Carnivore,Vertivore,Aerial,5863148.99
Hieraaetus morphnoides,35.7,10.9,18.1,54.5,364.8,161.2,775.05,Forest,2,1.0,Carnivore,Vertivore,Generalist,7265023.22
Hieraaetus pennatus,33.8,10.1,17.0,65.3,361.8,151.3,823.75,Forest,1,3.0,Carnivore,Vertivore,Generalist,6138248.03
Hieraaetus wahlbergi,39.3,12.1,17.4,71.1,413.8,174.8,639.99,Shrubland,2,1.0,Carnivore,Vertivore,Insessorial,9578321.34
Hieraaetus weiskei,30.4,10.0,17.0,55.0,337.0,111.5,775.05,Forest,1,1.0,Carnivore,Vertivore,Generalist,665554.04
Icthyophaga humilis,49.5,13.6,18.6,63.0,353.2,116.3,782.0,Wetland,3,1.0,Carnivore,Aquatic predator,Insessorial,2763882.32
Icthyophaga ichthyaetus,66.1,16.8,25.7,81.7,471.2,134.6,1590.0,Woodland,3,1.0,Carnivore,Aquatic predator,Insessorial,3707887.55
Ictinaetus malaiensis,51.5,13.7,18.6,68.7,552.8,240.5,1028.0,Forest,1,1.0,Carnivore,Vertivore,Aerial,3231811.39
Ictinia mississippiensis,23.0,11.0,12.3,37.0,291.8,156.5,276.03,Woodland,2,3.0,Carnivore,Invertivore,Generalist,824795.96
Ictinia plumbea,23.9,10.8,13.4,33.2,285.6,117.8,249.9,Forest,2,1.0,Carnivore,Invertivore,Generalist,12719722.18
Kaupifalco monogrammicus,29.3,10.1,12.8,53.1,217.4,70.4,278.94,Woodland,3,1.0,Carnivore,Invertivore,Insessorial,13079368.52
Leptodon cayanensis,33.9,11.5,16.0,38.5,302.8,57.0,474.0,Forest,2,1.0,Carnivore,Omnivore,Insessorial,12071802.08
Leptodon forbesi,36.2,12.2,17.4,43.1,316.2,89.4,577.0,Forest,2,1.0,Carnivore,Omnivore,Insessorial,52831.24
Leucopternis kuhli,30.4,11.4,15.0,56.2,207.6,54.5,352.09,Forest,1,1.0,Carnivore,Vertivore,Insessorial,2375316.62
