species,iucn_categoria
Troglodytes musculus,
Satrapa icterophrys,LC
Heliomaster furcifer,LC
Fulica ardesiaca,LC
Aeronautes andecolus,LC
Phalacrocorax brasilianus,
Conirostrum cinereum,LC
Idiopsar dorsalis,
Metriopelia ceciliae,LC
Tangara xanthocephala,LC
Pseudoscops clamator,
Paroaria gularis,LC
Progne chalybea,LC
Phoenicoparrus andinus,VU
Ardea alba,LC
Pyrocephalus rubinus,LC
Spizaetus isidori,
Myiophobus ochraceiventris,
Odontorchilus branickii,LC
Xenops rutilans,
Megaceryle torquata,LC
Sclerurus caudacutus,LC
Cyphorhinus thoracicus,LC
Arremon flavirostris,LC
Pteroglossus beauharnaesii,
Psarocolius angustifrons,LC
Crax globulosa,
Zimmerius gracilipes,LC
Contopus fumigatus,LC
Serpophaga subcristata,LC
Euphonia laniirostris,LC
Myrmeciza fortis,
Ara glaucogularis,CR
Ochthoeca cinnamomeiventris,LC
Oxyruncus cristatus,LC
Nyctibius aethereus,LC
Myiothlypis chrysogaster,LC
Penelope montagnii,LC
Micrastur mirandollei,LC
Pachyramphus validus,LC
Psarocolius oseryi,
Brotogeris cyanoptera,LC
Ara rubrogenys,CR
Spizaetus tyrannus,LC
Ardea cocoi,LC
Microbates cinereiventris,LC
Rollandia microptera,
Deconychura longicauda,LC
Cacicus uropygialis,LC
Phaethornis superciliosus,LC
Elaenia strepera,LC
Phylloscartes ventralis,LC
Herpsilochmus axillaris,LC
Hemitriccus rufigularis,LC
Chrysomus ruficapillus,LC
Dubusia taeniata,LC
Herpsilochmus rufimarginatus,LC
Hypocnemis cantator,LC
Caracara plancus,LC
Tachyphonus rufus,LC
Cyanocompsa cyanoides,LC
Pharomachrus auriceps,LC
Rollandia rolland,LC
Actitis macularius,LC
Tinamotis pentlandii,LC
Ramphastos toco,LC
Phimosus infuscatus,LC
Pilherodius pileatus,LC
Anser anser,LC
Vultur gryphus,VU
Cotinga cayana,LC
Cyanerpes caeruleus,LC
Platalea ajaja,LC
Oressochen jubatus,
Schistochlamys melanopis,LC
Loriotus rufiventer,
Rhea americana,NT
Lophonetta specularioides,LC
Tringa solitaria,LC
Cathartes melambrotus,LC
Spatula cyanoptera,LC
Muscisaxicola flavinucha,LC
Tachuris rubrigastra,LC
Dacnis lineata,LC
Muscisaxicola maculirostris,LC
Callonetta leucophrys,LC
Metriopelia melanoptera,LC
Xenopsaris albinucha,LC
Morphnus guianensis,NT
Podiceps occipitalis,LC
Geranoaetus melanoleucus,LC
Jabiru mycteria,LC
Cathartes aura,LC
Agriornis micropterus,LC
Dendrocygna autumnalis,LC
Tangara mexicana,LC
Gymnoderus foetidus,LC
Rhea pennata,LC
Microstilbon burmeisteri,LC
Chlorostilbon mellisugus,LC
Ocreatus addae,
Grallaria andicolus,LC
Rostrhamus sociabilis,LC
Nycticorax nycticorax,LC
Bubo magellanicus,LC
Buthraupis montana,LC
Coeligena torquata,LC
Arundinicola leucocephala,LC
Streptoprocne rutila,LC
Butorides striata,LC
Phoenicopterus chilensis,NT
Stilpnia cayana,
Hymenops perspicillatus,LC
Podilymbus podiceps,LC
Ochthoeca leucophrys,LC
Haplochelidon andecola,
Muscisaxicola rufivertex,LC
Anthus chii,
Ciconia maguari,LC
Sporophila ruficollis,NT
Empidonomus varius,LC
Tityra inquisitor,LC
Theristicus melanopis,LC
Phibalura flavirostris,LC
Glaucis hirsutus,LC
Myiotheretes striaticollis,LC
Plegadis chihi,LC
Muscisaxicola griseus,LC
Columba livia,LC
Thlypopsis sordida,LC
Xolmis irupero,LC
Chlorochrysa calliparaea,LC
Bubulcus ibis,LC
Odontophorus gujanensis,LC
Buteogallus urubitinga,LC
Sarcoramphus papa,LC
Aeronautes montivagus,LC
Spizaetus melanoleucus,LC
Pluvialis dominica,LC
Pardirallus maculatus,LC
Circus cinereus,LC
Molothrus bonariensis,LC
Chordeiles nacunda,LC
Phleocryptes melanops,LC
Saltator similis,LC
Fulica leucoptera,LC
Lessonia oreas,LC
Muscisaxicola capistratus,LC
Buteo albigula,LC
Cathartes burrovianus,LC
Piculus leucolaemus,LC
Selenidera reinwardtii,LC
Sternula superciliaris,LC
Pandion haliaetus,LC
Deconychura pallida,LC
Porphyrio martinica,
Tyrannus tyrannus,LC
Circus buffoni,LC
Dendrocygna bicolor,LC
Lurocalis semitorquatus,LC
Elanus leucurus,LC
Knipolegus hudsoni,LC
Phalaropus tricolor,
Chamaepetes goudotii,LC
Sporophila castaneiventris,LC
Aramides ypecaha,LC
Anthracothorax nigricollis,LC
Agriornis murinus,LC
Colonia colonus,LC
Tangara gyrola,LC
Himantopus mexicanus,
Accipiter striatus,LC
Petrochelidon pyrrhonota,LC
Idiopsar brachyurus,LC
Myiodynastes luteiventris,LC
Leucopternis albicollis,
Riparia riparia,LC
Sporophila collaris,LC
Rynchops niger,LC
Chlorospingus parvirostris,LC
Todirostrum chrysocrotaphum,LC
Buteo brachyurus,LC
Phaethornis stuarti,LC
Catamenia inornata,LC
Calidris subruficollis,VU
Aulacorhynchus albivitta,LC
Elaenia flavogaster,LC
Limosa haemastica,VU
Anabacerthia striaticollis,LC
Spatula versicolor,LC
Cephalopterus ornatus,LC
Spatula platalea,LC
Chaetura brachyura,LC
Penelope superciliaris,NT
Buteo albonotatus,LC
Rupicola peruvianus,LC
Sicalis luteocephala,LC
Loriotus cristatus,
Netta peposaca,LC
Geositta tenuirostris,LC
Xenops genibarbis,LC
Falco peregrinus,LC
Sporophila bouvronides,LC
Sarkidiornis sylvicola,LC
Chionomesa lactea,
Ixothraupis xanthogastra,
Egretta caerulea,LC
Geranospiza caerulescens,LC
Onychorhynchus coronatus,LC
Amblycercus holosericeus,LC
Porzana flaviventer,
Cochlearius cochlearius,LC
Tangara nigroviridis,LC
Chondrohierax uncinatus,LC
Setophaga fusca,LC
Piranga olivacea,LC
Phaethornis philippii,LC
Hemithraupis flavicollis,LC
Tigrisoma fasciatum,LC
Notiochelidon murina,
Muscisaxicola fluviatilis,LC
Heliomaster longirostris,LC
Pseudospingus xanthophthalmus,LC
Tangara chrysotis,LC
Cinclus leucocephalus,LC
Muscisaxicola cinereus,LC
Cardellina canadensis,LC
Tangara arthus,LC
Amazona tucumana,VU
Molothrus rufoaxillaris,LC
Ixothraupis punctata,
Muscisaxicola albifrons,LC
Nomonyx dominicus,LC
Gampsonyx swainsonii,LC
Nothoprocta pentlandii,LC
Dacnis flaviventer,LC
Agriornis montanus,LC
Colaptes punctigula,LC
Agamia agami,NT
Sclerurus obscurior,
Grallaria albigula,LC
Oreotrochilus leucopleurus,LC
Knipolegus cabanisi,LC
Threnetes leucurus,LC
Systellura longirostris,LC
Euphonia cyanocephala,LC
Idiopsar erythronotus,
Doryfera ludovicae,LC
Psilopsiagon aurifrons,LC
Tangara velia,LC
Chordeiles rupestris,LC
Celeus undatus,LC
Chalcostigma stanleyi,LC
Sporophila hypochroma,NT
Heliodoxa leadbeateri,LC
Sporophila luctuosa,LC
Florisuga mellivora,LC
Pteroglossus inscriptus,LC
Fulica rufifrons,LC
Porphyrolaema porphyrolaema,LC
Polioxolmis rufipennis,LC
Crax fasciolata,VU
Muscisaxicola frontalis,LC
Ara macao,LC
Chloroceryle aenea,LC
Serpophaga cinerea,LC
Chordeiles minor,LC
Nyctipolus nigrescens,LC
Chaetura meridionalis,LC
Accipiter collaris,LC
Gallinula melanops,
Muscisaxicola albilora,LC
Furnarius cristatus,LC
Chordeiles acutipennis,LC
Chalcothraupis ruficervix,
Xipholena punicea,LC
Contopus cinereus,LC
Asio flammeus,LC
Gallinago paraguaiae,LC
Panyptila cayennensis,LC
Heteronetta atricapilla,LC
Mitrephanes olivaceus,LC
Lepidocolaptes albolineatus,LC
Phylloscartes orbitalis,
Charitospiza eucosma,NT
Pseudocolopteryx sclateri,LC
Piculus flavigula,LC
Hemitriccus granadensis,LC
Zebrilus undulatus,LC
Chrysuronia versicolor,LC
Heliothryx auritus,LC
Creurgops dentatus,LC
Amazona xanthops,
Oreopholus ruficollis,LC
Terenura sharpei,
Ensifera ensifera,LC
Pteroglossus azara,LC
Thinocorus rumicivorus,LC
Botaurus pinnatus,LC
Calidris minutilla,NT
Coscoroba coscoroba,LC
Harpyhaliaetus solitarius,
Phegornis mitchellii,NT
Pachyramphus marginatus,LC
Elaenia gigas,LC
Cinclus schulzii,VU
Geositta rufipennis,LC
Diuca diuca,LC
Heliodoxa aurescens,LC
Cypseloides senex,LC
Nystalus striolatus,LC
Sicalis citrina,LC
Pteroglossus bitorquatus,NT
Nyctibius maculosus,LC
Xenops milleri,
Lophornis delattrei,LC
Metopothrix aurantiaca,LC
Sporophila americana,LC
Cyanerpes nitidus,LC
Polystictus pectoralis,NT
Leptasthenura andicola,LC
Pipreola frontalis,LC
Rhytipterna immunda,LC
Ictinia mississippiensis,LC
Anthus bogotensis,LC
Stilpnia meyerdeschauenseei,
Calliphlox amethystina,LC
Neochelidon tibialis,
Oceanodroma markhami,
Forpus modestus,LC
Rhynchocyclus fulvipectus,LC
Geotrygon violacea,LC
Dolichonyx oryzivorus,NT
Schiffornis major,LC
Spatula discors,LC
Spinus uropygialis,LC
Piranga rubra,LC
Lurocalis rufiventris,LC
Buteo swainsoni,LC
Poospiza nigrorufa,LC
Brachygalba albogularis,LC
Ramphomicron microrhynchum,LC
Nonnula ruficapilla,LC
Conopias trivirgatus,LC
Pionopsitta barrabandi,
Pyrrhura rupicola,LC
Eudromia formosa,LC
Fulica cornuta,NT
Upucerthia dumetaria,LC
Cypseloides lemosi,LC
Coccyzus cinereus,
Chaetura chapmani,LC
Coccyzus erythropthalmus,LC
Fulica armillata,LC
Hylexetastes perrotii,LC
Malacoptila rufa,LC
Nycticryphes semicollaris,NT
Pluvialis squatarola,VU
Anodorhynchus hyacinthinus,VU
Numenius phaeopus,LC
Sirystes sibilator,LC
Micromonacha lanceolata,LC
Charadrius semipalmatus,LC
Calidris alba,LC
Ramphocelus nigrogularis,LC
Chrysolampis mosquitus,LC
Myiobius villosus,LC
Tangara callophrys,LC
Megascops roraimae,
Arenaria interpres,NT
Anabazenops dorsalis,LC
Neocrex erythrops,LC
Sporophila nigrorufa,VU
Pseudocolopteryx citreola,LC
Cypseloides cryptus,LC
Pseudocolopteryx dinelliana,NT
Gallus gallus,LC
Herpsilochmus pileatus,NT
Thamnophilus punctatus,LC
Glaucidium minutissimum,LC
Cyanocompsa rothschildii,
Cyanocompsa parellina,LC
Sporophila nigricollis,LC
Serpophaga nigricans,LC
Automolus melanopezus,LC
Attila phoenicurus,LC
Cotinga maynana,LC
Leucophaeus pipixcan,
Discosura langsdorffi,LC
Cnemarchus erythropygius,LC
Pyrrhura amazonum,NT
Xenopipo atronitens,LC
Anas platyrhynchos,LC
Sterna hirundo,LC
Stilpnia viridicollis,
Guyramemua affine,NT
Melopsittacus undulatus,LC
Cnipodectes subbrunneus,LC
Pyriglena leucoptera,LC
Leucophaeus atricilla,
Xenopipo unicolor,
Tinamus osgoodi,VU
Oxyura jamaicensis,LC
Lessonia rufa,LC
Asthenes pyrrholeuca,LC
Knipolegus poecilurus,LC
Picumnus rufiventris,LC
Sublegatus obscurior,LC
Dryocopus schulzii,
Oxyura vittata,LC
Calidris pugnax,LC
Anthus furcatus,LC
Neopelma pallescens,LC
Capito dayi,NT
Harpagus diodon,LC
Discosura popelairii,LC
Nothoprocta taczanowskii,VU
Eriocnemis luciani,LC
Xolmis coronatus,LC
Setophaga cerulea,NT
Psophia viridis,VU
Formicarius rufifrons,LC
Laniisoma buckleyi,LC
Poecilotriccus albifacies,LC
Frederickena unduliger,LC
Phyllomyias fasciatus,LC
Agriornis andicola,
Conopias cinchoneti,LC
Nannopsittaca dachilleae,LC
Tachyphonus phoenicius,LC
Conothraupis speculigera,LC
Sporophila atrirostris,LC
Coccyzus euleri,LC
Pavo cristatus,LC
Myrmochanes hemileucus,LC
Tachycineta leucopyga,
Conopophaga peruviana,LC
Amazona festiva,LC
Synallaxis cherriei,LC
Chaetura pelagica,VU
Setophaga striata,NT
Agapornis fischeri,NT
Schistocichla leucostigma,
Calidris acuminata,VU
Phaethornis guy,LC
Numida meleagris,LC
Chlorestes notata,
Agapornis roseicollis,LC
Knipolegus orenocensis,LC
Charadrius alticola,
Ardea pacifica,LC
Psittacula caniceps,NT
Turdus anthracinus,LC
Turdus merula,LC
Saltator grandis,LC
Milvago chimachima,LC
Cinclodes albidiventris,LC
Xenops rutilus,LC
Turdus debilis,LC
Grallaria rufula,LC
Penelope obscura,LC
Charadrius collaris,
Muscisaxicola occipitalis,LC
Heliobletus contaminatus,LC
Podiceps juninensis,NT
Sclerurus mexicanus,LC
Microspingus cinereus,LC
Picoides fumigatus,
Aulacorhynchus atrogularis,LC
Asthenes huancavelicae,LC
Ardea cinerea,LC
Pyrocephalus obscurus,
