species,iucn_categoria
Lepidothrix nattereri,LC
Pipreola arcuata,LC
Poospiza whitii,LC
Picumnus aurifrons,LC
Synallaxis scutata,LC
Myrmeciza atrothorax,
Poecilotriccus plumbeiceps,LC
Schistocichla humaythae,
Chloephaga melanoptera,LC
Cranioleuca henricae,VU
Upucerthia harterti,
Xiphorhynchus obsoletus,LC
Syrigma sibilatrix,LC
Coryphistera alaudina,LC
Xiphorhynchus guttatus,LC
Aglaiocercus kingii,LC
Myiozetetes luteiventris,LC
Pyrrhura picta,LC
Cacicus solitarius,LC
Celeus grammicus,LC
Mecocerculus stictopterus,LC
Ixobrychus exilis,LC
Lampropsar tanagrinus,LC
Isleria hauxwelli,LC
Leptasthenura fuliginiceps,LC
Setophaga pitiayumi,LC
Hylopezus auricularis,VU
Phacellodomus striaticeps,LC
Spinus olivaceus,LC
Lesbia nuna,LC
Leptodon cayanensis,LC
Calidris bairdii,LC
Pachyramphus castaneus,LC
Leptotila rufaxilla,LC
Mitu tuberosum,NT
Myiothlypis bivittata,LC
Conirostrum binghami,NT
Ramphotrigon ruficauda,LC
Cercomacra nigrescens,
Myiarchus ferox,LC
Myrmoborus myotherinus,LC
Thamnophilus aethiops,LC
Melanopareia maximiliani,LC
Chauna torquata,LC
Celeus elegans,LC
Volatinia jacarina,LC
Zimmerius bolivianus,LC
Busarellus nigricollis,LC
Ampelion rubrocristatus,LC
Thamnomanes schistogynus,LC
Cyanocorax violaceus,LC
Tachybaptus dominicus,LC
Primolius auricollis,LC
Thamnophilus palliatus,LC
Aratinga acuticaudata,
Pipreola intermedia,LC
Knipolegus striaticeps,LC
Conirostrum ferrugineiventre,LC
Myrmorchilus strigilatus,LC
Schizoeaca harterti,
Aglaeactis pamela,LC
Rhytipterna simplex,LC
Rhynchotus rufescens,LC
Attila citriniventris,LC
Euscarthmus rufomarginatus,LC
Neothraupis fasciata,NT
Pheugopedius genibarbis,LC
Schistes geoffroyi,LC
Pachyramphus viridis,LC
Grallaria guatimalensis,LC
Megascops hoyi,LC
Sporophila caerulescens,LC
Micrastur semitorquatus,LC
Pseudoseisura unirufa,LC
Sporophila maximiliani,
Cantorchilus guarayanus,LC
Thamnophilus schistaceus,LC
Herpsilochmus longirostris,LC
Spinus magellanicus,LC
Hylophilus pectoralis,LC
Hirundinea ferruginea,LC
Melanerpes candidus,LC
Turdus lawrencii,LC
Tyranneutes stolzmanni,LC
Crypturellus cinereus,LC
Ara ararauna,LC
Odontophorus stellatus,LC
Phaethornis nattereri,LC
Sappho sparganurus,LC
Nandayus nenday,
Pterophanes cyanopterus,LC
Cranioleuca albiceps,LC
Leuconotopicus fumigatus,LC
Cercomacra cinerascens,LC
Glaucidium hardyi,LC
Xiphorhynchus ocellatus,LC
Tinamus major,LC
Trogon collaris,LC
Hylophilus muscicapinus,
Piranga flava,LC
Hemitriccus cohnhafti,NT
Serpophaga munda,
Hemitriccus griseipectus,LC
Psarocolius atrovirens,LC
Amazonetta brasiliensis,LC
Falco femoralis,LC
Contopus virens,LC
Cercomacra manu,LC
Columbina talpacoti,LC
Cyanolyca viridicyanus,LC
Melanerpes cactorum,LC
Asemospiza obscura,LC
Myrmeciza hemimelaena,
Habia rubica,LC
Columbina squammata,LC
Myrmotherula grisea,LC
Thripophaga fusciceps,LC
Chamaeza campanisona,LC
Cranioleuca pyrrhophia,LC
Ara chloropterus,LC
Patagioenas plumbea,LC
Patagioenas subvinacea,LC
Pipile cumanensis,LC
Thamnophilus aroyae,LC
Icterus cayanensis,LC
Certhiaxis cinnamomeus,LC
Primolius couloni,VU
Celeus flavus,LC
Chiroxiphia pareola,LC
Brachygalba lugubris,LC
Rhynchotus maculicollis,LC
Phalcoboenus megalopterus,LC
Cercomacra serva,
Myiothlypis rivularis,LC
Myrmotherula brachyura,LC
Antrostomus rufus,LC
Claravis pretiosa,LC
Patagona gigas,LC
Notiochelidon flavipes,
Ara militaris,VU
Hemitriccus iohannis,LC
Eubucco versicolor,LC
Spinus atratus,LC
Tinamus tao,VU
Nyctidromus albicollis,LC
Phyllomyias burmeisteri,LC
Psarocolius bifasciatus,LC
Melanerpes cruentatus,LC
Automolus rufipileatus,LC
Pipra rubrocapilla,
Strix huhula,
Cinnycerthia fulva,LC
Geositta punensis,LC
Hemitriccus minor,LC
Thamnomanes ardesiacus,LC
Nystalus striatipectus,
Herpsilochmus atricapillus,LC
Heliactin bilophus,LC
Sicalis lutea,LC
Glyphorynchus spirurus,LC
Icterus icterus,LC
Gallinula chloropus,LC
Drymophila striaticeps,LC
Upucerthia certhioides,
Cantorchilus leucotis,LC
Suiriri suiriri,LC
Psarocolius viridis,LC
Hylopezus berlepschi,LC
Donacobius atricapilla,LC
Myiozetetes granadensis,LC
Myrmotherula multostriata,LC
Amazona aestiva,NT
Andigena cucullata,LC
Arremon dorbignii,LC
Serpophaga griseicapilla,LC
Cyanerpes cyaneus,LC
Parkerthraustes humeralis,LC
Molothrus oryzivorus,LC
Percnohierax leucorrhous,
Basileuterus punctipectus,
Metriopelia aymara,LC
Ramphocelus carbo,LC
Xiphorhynchus elegans,LC
Lophostrix cristata,LC
Mimus saturninus,LC
Hylophilus hypoxanthus,
Ramphastos vitellinus,LC
Theristicus caerulescens,LC
Epinecrophylla haematonota,LC
Hemitriccus spodiops,LC
Lophornis verreauxii,LC
Myrmoborus leucophrys,LC
Coereba flaveola,LC
Hapalopsittaca melanotis,LC
Calidris melanotos,LC
Donacospiza albifrons,LC
Setopagis parvula,LC
Harpia harpyja,VU
Zimmerius cinereicapilla,LC
Anhima cornuta,LC
Asthenes maculicauda,LC
Micrastur ruficollis,LC
Megascops marshalli,LC
Dromococcyx phasianellus,LC
Penelope dabbenei,LC
Contopus cooperi,LC
Embernagra platensis,LC
Sporophila crassirostris,LC
Penelope jacquacu,LC
Geothlypis velata,
Microspingus torquatus,LC
Diglossa carbonaria,LC
Amblyramphus holosericeus,LC
Ramphotrigon megacephalum,LC
Glaucidium parkeri,LC
Tityra cayana,LC
Automolus ochrolaemus,LC
Hylophylax punctulatus,LC
Lipaugus vociferans,LC
Thamnophilus amazonicus,LC
Harpyhaliaetus coronatus,
Stigmatura budytoides,LC
Anurolimnas viridis,
Geospizopsis plebejus,LC
Rhopospina fruticeti,LC
Hypocnemis peruviana,LC
Amazona farinosa,LC
Megarynchus pitangua,LC
Penelope bridgesi,
Oporornis agilis,LC
Progne elegans,LC
Cariama cristata,LC
Asthenes heterura,LC
Elaenia cristata,LC
Inezia subflava,LC
Pygiptila stellaris,LC
Aratinga mitrata,
Pseudosaltator rufiventris,LC
Plegadis ridgwayi,LC
Agelaioides badius,LC
Syndactyla striata,LC
Asthenes baeri,LC
Chroicocephalus serranus,
Chunga burmeisteri,LC
Hylophylax naevius,LC
Microspingus trifasciatus,LC
Neochen jubata,LC
Synallaxis cabanisi,LC
Dendrocincla fuliginosa,LC
Phaethornis pretrei,LC
Laniocera hypopyrra,LC
Accipiter poliogaster,NT
Patagioenas speciosa,LC
Automolus infuscatus,LC
Myrmotherula menetriesii,LC
Anurolimnas castaneiceps,
Grallaria squamigera,LC
Sclerurus rufigularis,LC
Platyrinchus mystaceus,LC
Atlapetes rufinucha,LC
Metallura aeneocauda,LC
Idiopsar speculifer,
Myiopagis gaimardii,LC
Anisognathus somptuosus,LC
Hemitriccus striaticollis,LC
Celeus torquatus,LC
Phacellodomus ruber,LC
Ammodramus aurifrons,LC
Sicalis flaveola,LC
Bartramia longicauda,LC
Epinecrophylla ornata,LC
Conirostrum sitticolor,LC
Conopias albovittatus,LC
Turdus leucomelas,LC
Notharchus tectus,LC
Asthenes berlepschi,NT
Veniliornis lignarius,LC
Vireolanius leucotis,LC
Gallinago andina,LC
Eurypyga helias,LC
Agelaioides oreopsar,
Baryphthengus martii,LC
Hoploxypterus cayanus,LC
Willisornis poecilinotus,LC
Eupetomena macroura,LC
Kleinothraupis calophrys,LC
Galbula cyanicollis,LC
Hypocnemoides maculicauda,LC
Thamnomanes caesius,LC
Leptasthenura yanacensis,
Klais guimeti,LC
Rauenia bonariensis,
Aratinga weddellii,LC
Attila bolivianus,LC
Iodopleura isabellae,LC
Tyrannus albogularis,LC
Synallaxis albilora,LC
Batara cinerea,LC
Hylophilus poicilotis,LC
Tyrannopsis sulphurea,LC
Monasa morphoeus,LC
Hirundo rustica,LC
Myrmotherula longicauda,LC
Myrmotherula axillaris,LC
Cistothorus platensis,LC
Platyrinchus platyrhynchos,LC
Phrygilus atriceps,LC
Aratinga aurea,
Cacicus chrysopterus,LC
Epinecrophylla leucophthalma,LC
Lophotriccus eulophotes,LC
Psilopsiagon aymara,LC
Microrhopias quixensis,LC
Hypocnemis ochrogyna,VU
Hylophilus semicinereus,LC
Synallaxis hypospodia,LC
Odontophorus balliviani,LC
Cyphorhinus arada,LC
Neopelma sulphureiventer,LC
Amazona mercenaria,
Sporophila leucoptera,LC
Formicivora rufa,LC
Porphyrospiza caerulescens,NT
Trichothraupis melanops,LC
Euphonia rufiventris,LC
Picumnus dorbignyanus,LC
Bucco tamatia,
Hydropsalis climacocerca,LC
Basileuterus culicivorus,LC
Myioborus miniatus,LC
Ancistrops strigilatus,LC
Myrmotherula assimilis,LC
Cymbilaimus sanctaemariae,LC
Anisognathus igniventris,LC
Formicivora melanogaster,LC
Tyrannulus elatus,LC
Spizaetus ornatus,NT
Galbula dea,LC
Saltator grossus,LC
Formicivora grisea,LC
Ramphotrigon fuscicauda,LC
Notharchus ordii,LC
Piaya minuta,
Tapera naevia,LC
Gnorimopsar chopi,LC
Nyctiprogne leucopyga,LC
Trogon rufus,LC
Synallaxis albescens,LC
Tigrisoma lineatum,LC
Hyloctistes subulatus,
Taoniscus nanus,
Sturnella superciliaris,
Saltator maximus,LC
Malacoptila semicincta,LC
Thamnomanes saturninus,LC
Columbina minuta,LC
Crypturellus soui,LC
Brotogeris chiriri,LC
Theristicus caudatus,LC
Galbula cyanescens,LC
Myiophobus inornatus,LC
Veniliornis mixtus,LC
Synallaxis rutilans,LC
Synallaxis propinqua,
Diglossa mystacalis,LC
Claravis mondetoura,
Phaeomyias murina,LC
Veniliornis nigriceps,LC
Pharomachrus pavoninus,LC
Elaenia chilensis,
Tersina viridis,LC
Pionus maximiliani,LC
Gubernetes yetapa,LC
Columbina passerina,LC
Tangara schrankii,LC
Euscarthmus meloryphus,LC
Capito auratus,LC
Ochthornis littoralis,LC
Dendrocygna viduata,LC
Psophia leucoptera,LC
Brotogeris chrysoptera,LC
Iridosornis jelskii,LC
Mesembrinibis cayennensis,LC
Dubusia castaneoventris,LC
Tachycineta albiventer,LC
Cyanoloxia rothschildii,LC
Scytalopus simonsi,LC
Leucopternis schistaceus,
Lepidocolaptes fatimalimae,LC
Myrmeciza hyperythra,
Spinus xanthogastrus,LC
Tolmomyias flaviventris,LC
Antrostomus sericocaudatus,LC
Malacoptila fulvogularis,LC
Drymornis bridgesii,LC
Cyanoloxia brissonii,LC
Haplospiza rustica,
Hypocnemis subflava,LC
Terenotriccus erythrurus,LC
Dromococcyx pavoninus,LC
Nothura boraquira,LC
Chelidoptera tenebrosa,LC
Asthenes sclateri,
Tangara vassorii,LC
Pulsatrix perspicillata,LC
Amazona ochrocephala,LC
Arremon taciturnus,LC
Pardirallus sanguinolentus,LC
Piranga leucoptera,LC
Cercomacra melanaria,LC
Streptoprocne zonaris,LC
Phyllomyias weedeni,NT
Sporophila lineola,LC
Thamnophilus murinus,LC
Cranioleuca vulpina,LC
Megascops ingens,LC
Veniliornis passerinus,LC
Microcerculus marginatus,LC
Attila spadiceus,LC
Sclerurus albigularis,LC
Phylloscartes parkeri,LC
Myiornis ecaudatus,LC
Galbalcyrhynchus purusianus,LC
Pseudotriccus ruficeps,LC
Rhegmatorhina melanosticta,LC
Pipra chloromeros,
Trogon viridis,LC
Ochthoeca thoracica,LC
Phibalura boliviana,
Phlegopsis nigromaculata,LC
Corythopis torquatus,LC
Myiornis albiventris,LC
Myiozetetes similis,LC
Tyto furcata,
Elanoides forficatus,LC
Stilpnia cyanicollis,
Myiothlypis fulvicauda,LC
Colaptes melanochloros,LC
Chordeiles pusillus,LC
Colaptes rupicola,LC
Coryphaspiza melanotis,VU
Attila cinnamomeus,LC
Myiotheretes fuscorufus,LC
Pachyramphus versicolor,LC
Lophospingus griseocristatus,LC
Serpophaga hypoleuca,LC
Taphrospilus hypostictus,LC
Sturnella militaris,
Tachornis squamata,LC
Thripadectes scrutator,LC
Machaeropterus pyrocephalus,LC
Sporophila hypoxantha,LC
Formicarius colma,LC
Heliothraupis oneilli,LC
